id_place,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,stars,reviews,district,lat,long
ChIJb-10i_K3BZERy_N5eyj4NhM,https://www.google.com/maps/place/?q=place_id:ChIJb-10i_K3BZERy_N5eyj4NhM,Juanito De Barranco,Bar,"Av. Almte. Miguel Grau 270, Barranco 15063",947 442 513,+51 947 442 513,www.facebook.com,https://www.facebook.com/eljuanitodebarranco/,4.6,2062.0,Barranco,-12.1496421,-77.02066740000001
ChIJ-wQCpna3BZERyaPBnLRhbLs,https://www.google.com/maps/place/?q=place_id:ChIJ-wQCpna3BZERyaPBnLRhbLs,REIWA Izakaya Barranco,Restaurante japonés,"Av. Almte. Miguel Grau 902, Barranco 15063",963 797 882,+51 963 797 882,www.reiwaizakaya.com,http://www.reiwaizakaya.com/,4.7,584.0,Barranco,-12.1427903,-77.0218795
ChIJJW2CECq3BZER0acewjEiZZ8,https://www.google.com/maps/place/?q=place_id:ChIJJW2CECq3BZER0acewjEiZZ8,Mérito,Restaurante de alta cocina,"Jr, 28 De Julio 206, Barranco 15063",936 023 089,+51 936 023 089,www.merito.com.pe,https://www.merito.com.pe/,4.8,905.0,Barranco,-12.1504944,-77.020754
ChIJE-l-bvq3BZERgs6Br3Piz9c,https://www.google.com/maps/place/?q=place_id:ChIJE-l-bvq3BZERgs6Br3Piz9c,Restaurante Viejo Fundo,Restaurante,"Av. República de Panamá 201, Barranco 4",(01) 2529898,+51 1 2529898,www.viejofundo.com.pe,http://www.viejofundo.com.pe/,4.5,2154.0,Barranco,-12.1402228,-77.0180876
ChIJ-2wMZgC3BZER7it79qrKqZw,https://www.google.com/maps/place/?q=place_id:ChIJ-2wMZgC3BZER7it79qrKqZw,Cavenecia Steakhouse Barranco,Restaurante de carnes asadas,"Av. Nicolás de Piérola 416, Barranco 15063",933 175 976,+51 933 175 976,linktr.ee,https://linktr.ee/cavenecia.steakhouse?fbclid=PAZXh0bgNhZW0CMTEAAaatzc8aYA_25DSpmABlBRhuO0wmjAnR2BA_YcUFZ82GUTfXUF6XRVjdtnI_aem_gvHClpUu_WgML6dkn4Q56A,5.0,26.0,Barranco,-12.141860999999999,-77.01856599999999
ChIJh7oidvG3BZERrvWXeHbu3gY,https://www.google.com/maps/place/?q=place_id:ChIJh7oidvG3BZERrvWXeHbu3gY,El Budare Restaurante,Restaurante venezolano,"Av. Almte. Miguel Grau 111, Barranco 15063",936 519 894,+51 936 519 894,www.instagram.com,https://www.instagram.com/elbudarerestaurante,4.4,5561.0,Barranco,-12.1509784,-77.0203425
ChIJSXQEnfy3BZERZ_ul-PwNCFE,https://www.google.com/maps/place/?q=place_id:ChIJSXQEnfy3BZERZ_ul-PwNCFE,El Hornero Barranco,Parrilla,"Av. P.º de la República 6500, Barranco 15063",(01) 2474646,+51 1 2474646,www.elhornero.com.pe,http://www.elhornero.com.pe/,4.5,5534.0,Barranco,-12.1351946,-77.0199028
ChIJO0M8E_K3BZERcuT7StpDMbo,https://www.google.com/maps/place/?q=place_id:ChIJO0M8E_K3BZERcuT7StpDMbo,Manduco Barranco,Restaurante italiano,"Pje. Rìos 2, Barranco 15063",923 161 284,+51 923 161 284,,,4.5,497.0,Barranco,-12.1481264,-77.0209079
ChIJWxMfi_K3BZERe_9JztutpyY,https://www.google.com/maps/place/?q=place_id:ChIJWxMfi_K3BZERe_9JztutpyY,Bucanieri,Restaurante,"Av. Almte. Miguel Grau 107, Barranco 15063",969 317 227,+51 969 317 227,www.bucanieri.pe,https://www.bucanieri.pe/,4.4,1182.0,Barranco,-12.151051,-77.020347
ChIJ0Uphc7y3BZERBSQaALwqZqI,https://www.google.com/maps/place/?q=place_id:ChIJ0Uphc7y3BZERBSQaALwqZqI,Barranco 360 -Food & Drinks (Ceviches - Parrillas ),Pub restaurante,"Jr, Aurelio Souza 360, Barranco 15063",929 317 162,+51 929 317 162,,,4.5,10.0,Barranco,-12.139605099999999,-77.0149524
ChIJx7eM-u23BZERNW5XsSN2dO0,https://www.google.com/maps/place/?q=place_id:ChIJx7eM-u23BZERNW5XsSN2dO0,La Posada del Angel III,Bar restaurante,"Av. San Martín 157, Barranco 15063",(01) 2475544,+51 1 2475544,,,4.3,813.0,Barranco,-12.1473233,-77.0225444
ChIJiR0scPC3BZERB0wZ9xYz3W0,https://www.google.com/maps/place/?q=place_id:ChIJiR0scPC3BZERB0wZ9xYz3W0,Café Tostado,Restaurante,"Av. Nicolás de Piérola 222, Barranco 15063",(01) 2477133,+51 1 2477133,,,4.4,461.0,Barranco,-12.1416138,-77.0202292
ChIJMZ_nYO23BZER-OC8jtmLYB4,https://www.google.com/maps/place/?q=place_id:ChIJMZ_nYO23BZER-OC8jtmLYB4,BarBarian Barranco,Bar,"Av. Pedro de Osma 144, Lima 15063",,,pontebarbaro.com,https://pontebarbaro.com/,4.5,2435.0,Barranco,-12.15081,-77.02214239999999
ChIJAQAAAPG3BZEROv4QC065Ih8,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAPG3BZEROv4QC065Ih8,Restaurante Tornamessa,Restaurante,"VX4J G95, Barranco 15063",914 346 319,+51 914 346 319,,,4.4,186.0,Barranco,-12.143726599999999,-77.0190228
ChIJ01sth-G3BZERHLHau6WPXV8,https://www.google.com/maps/place/?q=place_id:ChIJ01sth-G3BZERHLHau6WPXV8,Central Restaurante,Restaurante peruano,"Av. Pedro de Osma 301, Barranco 15063",(01) 2428515,+51 1 2428515,www.centralrestaurante.com.pe,http://www.centralrestaurante.com.pe/,4.6,3678.0,Barranco,-12.1526483,-77.02245789999999
ChIJbZsLsfC3BZERP3Bl2k89FPI,https://www.google.com/maps/place/?q=place_id:ChIJbZsLsfC3BZERP3Bl2k89FPI,Rustica,Restaurante,"Parque Municipal Av, Av. Pedro de Osma 105 - 107, Barranco 15063",(01) 6807070,+51 1 6807070,www.rustica.com.pe,https://www.rustica.com.pe/,4.1,3869.0,Barranco,-12.1500237,-77.0214988
ChIJv80Z-e23BZEROMf1RbXkJ-k,https://www.google.com/maps/place/?q=place_id:ChIJv80Z-e23BZEROMf1RbXkJ-k,Ayahuasca,Bar,"Av. San Martín 130, Barranco 15063",981 044 745,+51 981 044 745,ayahuascarestobar.com,https://ayahuascarestobar.com/,4.5,5778.0,Barranco,-12.1471129,-77.0221719
ChIJBwGUrTG3BZEROK-ToQjOHQs,https://www.google.com/maps/place/?q=place_id:ChIJBwGUrTG3BZEROK-ToQjOHQs,CORDIAL,Vinoteca,"Av. Almte. Miguel Grau 810, Barranco 15063",957 801 199,+51 957 801 199,instagram.com,https://instagram.com/cordial_barranco?utm_medium=copy_link,4.3,88.0,Barranco,-12.1429929,-77.0218922
ChIJFbCrIpC3BZERBWQPlqnzVWQ,https://www.google.com/maps/place/?q=place_id:ChIJFbCrIpC3BZERBWQPlqnzVWQ,La Vaca Negra,Restaurante,"Jr. Carlos Arrieta 299 B, Barranco 15063",933 860 933,+51 933 860 933,www.facebook.com,https://www.facebook.com/lavacanegrabg,4.3,417.0,Barranco,-12.137142599999999,-77.0205659
ChIJy2OcCBnIBZERenJM5LPgUIk,https://www.google.com/maps/place/?q=place_id:ChIJy2OcCBnIBZERenJM5LPgUIk,Mamma Lola,Pizzería,"Av. Ernesto Diez Canseco 119, Miraflores 15074",(01) 2416335,+51 1 2416335,www.trattoriamammalola.com,http://www.trattoriamammalola.com/,4.3,2753.0,Barranco,-12.1220891,-77.0298128
ChIJ3_Ek8-23BZER1nIuG9BFMww,https://www.google.com/maps/place/?q=place_id:ChIJ3_Ek8-23BZER1nIuG9BFMww,La Bodega Verde,Cafetería,"Jiron Mariscal Jose Antonio de Sucre 335A, Barranco 15063",(01) 2478804,+51 1 2478804,www.facebook.com,http://www.facebook.com/labodegaverde,4.5,1881.0,Barranco,-12.1481666,-77.0225394
ChIJsecEFO63BZERMTEfWPB7_iY,https://www.google.com/maps/place/?q=place_id:ChIJsecEFO63BZERMTEfWPB7_iY,Colonia & Co,Restaurante,"Av. San Martín 131, Barranco 15063",947 100 123,+51 947 100 123,,,4.5,694.0,Barranco,-12.1474713,-77.0224277
ChIJQeYLX523BZERZs4bWKb4q68,https://www.google.com/maps/place/?q=place_id:ChIJQeYLX523BZERZs4bWKb4q68,DON OSCAR,Restaurante peruano,"Felipe Pardo 147, Barranco 15063",,,,,4.3,114.0,Barranco,-12.147298,-77.0201771
ChIJ6aVyKE23BZERGbW8L6HVVuM,https://www.google.com/maps/place/?q=place_id:ChIJ6aVyKE23BZERGbW8L6HVVuM,Brunch barranco,Restaurante,"0001, Barranco 00001",,,www.instagram.com,https://www.instagram.com/brunchbarranco?igsh=MWE3MWg2NG5laXJuZg==,5.0,1.0,Barranco,-12.1399638,-77.0175687
ChIJE1Pgae-3BZEREHxRROf7Fzk,https://www.google.com/maps/place/?q=place_id:ChIJE1Pgae-3BZEREHxRROf7Fzk,La Trastienda,Restaurante,"Boulevard Bordemar AV, Circuito de Playas 15063, Barranco 15032",940 857 559,+51 940 857 559,latrastienda.pe,https://latrastienda.pe/,4.2,1594.0,Barranco,-12.141734,-77.02738529999999
ChIJK6ge5O23BZERq90WtvXYwCE,https://www.google.com/maps/place/?q=place_id:ChIJK6ge5O23BZERq90WtvXYwCE,Yasu,Restaurante,"C. Coronel Alfonso Ugarte 121, Barranco 15063",(01) 3407770,+51 1 3407770,,,4.3,311.0,Barranco,-12.1468004,-77.0219907
ChIJ3bvFTzK3BZEReFXiTqj0GN4,https://www.google.com/maps/place/?q=place_id:ChIJ3bvFTzK3BZEReFXiTqj0GN4,Tequeño Lab - Barranco,Restaurante de fusión,"Av. Almte. Miguel Grau 910, Barranco 15063",967 019 944,+51 967 019 944,linktr.ee,http://linktr.ee/TequenoLab,4.8,217.0,Barranco,-12.142660399999999,-77.02192120000001
ChIJ8bcbKfe3BZERKf0hpys82s0,https://www.google.com/maps/place/?q=place_id:ChIJ8bcbKfe3BZERKf0hpys82s0,Don Enluzke,Restaurante,"Plaza Butters, Av Lima 254, Barranco, Lima 15063",(01) 2499564,+51 1 2499564,www.facebook.com,https://www.facebook.com/donenluzke/,4.3,141.0,Barranco,-12.143507999999999,-77.0162603
ChIJXZJ09u23BZERqGNK3oSXx5M,https://www.google.com/maps/place/?q=place_id:ChIJXZJ09u23BZERqGNK3oSXx5M,Antica Pizzería Barranco,Restaurante italiano,"Av. San Martín 201, Barranco 15063",994 293 370,+51 994 293 370,www.anticapizzeria.com.pe,http://www.anticapizzeria.com.pe/,4.3,1114.0,Barranco,-12.1469211,-77.0227025
ChIJ5QzM8-C3BZER6tCnxxzlDqY,https://www.google.com/maps/place/?q=place_id:ChIJ5QzM8-C3BZER6tCnxxzlDqY,Café - Restaurant Olguita ..como en casa,Restaurante,"Av. Almte. Miguel Grau 729, Barranco 15063",,,,,4.1,43.0,Barranco,-12.1436539,-77.0220477
ChIJd5_jHvK3BZERasO1o8okNkk,https://www.google.com/maps/place/?q=place_id:ChIJd5_jHvK3BZERasO1o8okNkk,Canta Ranita,Restaurante,"Jiron Unión 147, Barranco 15063",936 626 401,+51 936 626 401,www.cantarana.pe,http://www.cantarana.pe/,4.4,1081.0,Barranco,-12.1470526,-77.0209315
ChIJ0xgzG_G3BZERdntMJjIkLmY,https://www.google.com/maps/place/?q=place_id:ChIJ0xgzG_G3BZERdntMJjIkLmY,Amoramar,Restaurante,"Av. Pardo y Aliaga 672, San Isidro 15073",955 372 225,+51 955 372 225,www.amoramar.com,http://www.amoramar.com/,4.5,2742.0,Barranco,-12.105625999999999,-77.0389399
ChIJKQq_CfK3BZERseIs1IkvuIA,https://www.google.com/maps/place/?q=place_id:ChIJKQq_CfK3BZERseIs1IkvuIA,La Tostadora - Café y Arte Libre,Cafetería,"Jr, Jirón Domeyer 132, Barranco 15063",938 321 549,+51 938 321 549,www.latostadoracafe.com,http://www.latostadoracafe.com/,4.4,507.0,Barranco,-12.147573099999999,-77.0218282
ChIJQdTpXuW3BZERTH2OLQ0_d4Q,https://www.google.com/maps/place/?q=place_id:ChIJQdTpXuW3BZERTH2OLQ0_d4Q,Sofá Café Barranco.,Restaurante,"Av. San Martín N°480, Barranco 15063",977 777 001,+51 977 777 001,www.sofacafeperu.com,http://www.sofacafeperu.com/,4.4,2992.0,Barranco,-12.141371999999999,-77.02317099999999
ChIJsStqZvK3BZERl9NjtyC_DkE,https://www.google.com/maps/place/?q=place_id:ChIJsStqZvK3BZERl9NjtyC_DkE,Feria Bar,Bar,"Sanchez Carrion 110, Barranco 15063",(01) 5339016,+51 1 5339016,,,4.2,456.0,Barranco,-12.1488786,-77.0206376
ChIJ6fxyivi3BZEREul751mNRY4,https://www.google.com/maps/place/?q=place_id:ChIJ6fxyivi3BZEREul751mNRY4,Apus Festines y Fieras,Restaurante,"Av. Sáenz Peña 215, Barranco 15063",957 321 205,+51 957 321 205,apusfestinesyfieras.com,https://apusfestinesyfieras.com/,5.0,15.0,Barranco,-12.1436067,-77.0234806
ChIJtT6viPC3BZER1qikPfz24mI,https://www.google.com/maps/place/?q=place_id:ChIJtT6viPC3BZER1qikPfz24mI,Grill Berna,Restaurante,"Av. Nicolás de Piérola 401, Barranco 15063",(01) 4773034,+51 1 4773034,,,4.1,580.0,Barranco,-12.141621299999999,-77.0187217
ChIJe40GD_C3BZERiWQdb6Q8hCM,https://www.google.com/maps/place/?q=place_id:ChIJe40GD_C3BZERiWQdb6Q8hCM,El Tizón,Bar,"Barranco, Av. Nicolás de Piérola 148, Lima",997 242 695,+51 997 242 695,,,4.3,1768.0,Barranco,-12.141443400000002,-77.0210835
ChIJLSz0O_K3BZERbt-hwVYv3Ow,https://www.google.com/maps/place/?q=place_id:ChIJLSz0O_K3BZERbt-hwVYv3Ow,Naed Enrollados Barranco,Restaurante,LIMA 15063,(01) 2283735,+51 1 2283735,naedperu.com,http://naedperu.com/,4.3,959.0,Barranco,-12.1475236,-77.0201024
ChIJ1eE74Yq3BZERFQZhDtiwtjM,https://www.google.com/maps/place/?q=place_id:ChIJ1eE74Yq3BZERFQZhDtiwtjM,AMMO,Bar,"Playa Las Cascadas, Av, Circuito de Playas, Barranco 00003",988 641 697,+51 988 641 697,,,4.4,170.0,Barranco,-12.1430794,-77.0266158
ChIJodGzWEO3BZERUhhlvotoMBk,https://www.google.com/maps/place/?q=place_id:ChIJodGzWEO3BZERUhhlvotoMBk,Take Barranco,Restaurante,"Av. Almte. Miguel Grau 208, Barranco 15063",939 085 006,+51 939 085 006,www.take.com.pe,https://www.take.com.pe/,4.7,6.0,Barranco,-12.150167,-77.0205072
ChIJxeKrDvC3BZERFhhk1Bjc3y8,https://www.google.com/maps/place/?q=place_id:ChIJxeKrDvC3BZERFhhk1Bjc3y8,Don Bajadón,Restaurante,"1002,, Av. Nicolás de Piérola, Barranco 15063",961 069 900,+51 961 069 900,,,3.9,819.0,Barranco,-12.1410792,-77.02197579999999
ChIJqa8l3vG3BZEREMCn88mNQi4,https://www.google.com/maps/place/?q=place_id:ChIJqa8l3vG3BZEREMCn88mNQi4,Arepa Café Lima,Restaurante venezolano,"Av. Almte. Miguel Grau 624, Barranco 15063",923 306 793,+51 923 306 793,www.atom.bio,http://www.atom.bio/arepacafe,4.5,1330.0,Barranco,-12.145242999999999,-77.02171299999999
ChIJg6q7_O23BZERl5PWEoBXXjw,https://www.google.com/maps/place/?q=place_id:ChIJg6q7_O23BZERl5PWEoBXXjw,El Muelle Cevichería,Restaurante peruano,"C. Coronel Alfonso Ugarte 206, Lima 15063",(01) 2528643,+51 1 2528643,www.instagram.com,https://www.instagram.com/elmuelledebarranco?igsh=b3oydHR5c2hvYW04,4.3,1636.0,Barranco,-12.147074199999999,-77.02262499999999
ChIJP7tgKAW3BZERXBj_OfIeFNY,https://www.google.com/maps/place/?q=place_id:ChIJP7tgKAW3BZERXBj_OfIeFNY,Belgicius Barranco,Restaurante de comida rápida,"Av. Nicolás de Piérola 194, Barranco 15063",902 660 553,+51 902 660 553,www.facebook.com,http://www.facebook.com/Belgicius.,4.3,319.0,Barranco,-12.1414952,-77.0207959
ChIJnXedkKG3BZER_p2XHpT86BQ,https://www.google.com/maps/place/?q=place_id:ChIJnXedkKG3BZER_p2XHpT86BQ,113 FUSION,Restaurante peruano,"Genova 113, Barranco 15063",993 908 998,+51 993 908 998,www.instagram.com,https://www.instagram.com/113restaurante.oficial?igsh=cm43MXAxYjVhZGY=,4.7,141.0,Barranco,-12.146454199999999,-77.0223735
ChIJmUQmwvC3BZERg1HWeV3ia3k,https://www.google.com/maps/place/?q=place_id:ChIJmUQmwvC3BZERg1HWeV3ia3k,Selectos Ibéricos - Barranco,Restaurante,"Av. Almte. Miguel Grau 1380, Barranco 15063",939 739 892,+51 939 739 892,www.selectosibericos.com,http://www.selectosibericos.com/,4.2,80.0,Barranco,-12.138235199999999,-77.02221689999999
ChIJ7_B6ZPK3BZERRARwUUvUMIw,https://www.google.com/maps/place/?q=place_id:ChIJ7_B6ZPK3BZERRARwUUvUMIw,El Chinito Sanguchería - Barranco,Restaurante,"Av. Almte. Miguel Grau 302, Barranco 15063",946 091 680,+51 946 091 680,www.elchinito.com.pe,http://www.elchinito.com.pe/,4.3,933.0,Barranco,-12.1486076,-77.0209698
ChIJjUXfwPK3BZERsIDqCnj3vug,https://www.google.com/maps/place/?q=place_id:ChIJjUXfwPK3BZERsIDqCnj3vug,Burrito Bar,Taquería,"Av. Almte. Miguel Grau 113-A, Barranco 15063",942 899 544,+51 942 899 544,,,4.6,913.0,Barranco,-12.1509092,-77.0203609
ChIJZYNShvG3BZERKu9zIj7AVvA,https://www.google.com/maps/place/?q=place_id:ChIJZYNShvG3BZERKu9zIj7AVvA,Bravazo Barranco,Restaurante,"Av. Francisco Bolognesi 405, Barranco 15063",901 421 803,+51 901 421 803,,,4.2,122.0,Barranco,-12.1465737,-77.0199098
ChIJORryHfe3BZERrUQbFCQN664,https://www.google.com/maps/place/?q=place_id:ChIJORryHfe3BZERrUQbFCQN664,La Onceava,Restaurante,"Av Lima 902, Barranco 15049",913 958 707,+51 913 958 707,laonceava.mesa247.pe,https://laonceava.mesa247.pe/,4.2,2441.0,Barranco,-12.1437779,-77.0153668
ChIJmRhFHPK3BZERuRhD03D0rjk,https://www.google.com/maps/place/?q=place_id:ChIJmRhFHPK3BZERuRhD03D0rjk,La Panetteria Barranco,Panadería,"Av. Almte. Miguel Grau 369, Barranco 15063",933 580 937,+51 933 580 937,,,4.6,1344.0,Barranco,-12.1481245,-77.0213546
ChIJZa4YnYG3BZER9qft8hoC1hI,https://www.google.com/maps/place/?q=place_id:ChIJZa4YnYG3BZER9qft8hoC1hI,Huarique De Barranco,Restaurante,"Av. Jorge Chávez 324, Barranco 15063",996 461 012,+51 996 461 012,,,4.3,331.0,Barranco,-12.1441579,-77.0153715
ChIJb5ZqDfK3BZERy78xAC8cyEA,https://www.google.com/maps/place/?q=place_id:ChIJb5ZqDfK3BZERy78xAC8cyEA,Zarachs,Restaurante,"Av. Almte. Miguel Grau 370-368, Barranco 15063",(01) 2471418,+51 1 2471418,,,4.0,85.0,Barranco,-12.148033999999999,-77.0212478
ChIJi8VngrK3BZERDyVoYclu_Q0,https://www.google.com/maps/place/?q=place_id:ChIJi8VngrK3BZERDyVoYclu_Q0,Sanguchería Soleri,Restaurante,"Nicolas de Pierola 104, Barranco, Cercado de Lima 15063",,,,,4.6,29.0,Barranco,-12.1413054,-77.0219379
ChIJ5VWcOPK3BZERegpaW2_Icqc,https://www.google.com/maps/place/?q=place_id:ChIJ5VWcOPK3BZERegpaW2_Icqc,ANTICUCHOS BETTY BARRANCO,Restaurante,"CON, Ca. Pazos 99A, Barranco 15063",987 020 041,+51 987 020 041,,,4.5,45.0,Barranco,-12.1480201,-77.0198759
ChIJ25WaAfG3BZER1gyfZjmxeho,https://www.google.com/maps/place/?q=place_id:ChIJ25WaAfG3BZER1gyfZjmxeho,Sargento Pimienta Rock Bar,Bar,"Av. Francisco Bolognesi 757, Barranco 15063",(01) 2473265,+51 1 2473265,www.sargentopimienta.com.pe,http://www.sargentopimienta.com.pe/,4.4,1380.0,Barranco,-12.143906,-77.018703
